type,prix,surface,nb_pieces,localisation,details
Parking à vendre,45 000 €,60 m²,non disponible,PARIS  75015,"PARIS XVème ÉCOLE MILITAIRE / AVENUE DE SUFFREN Situé au deuxième sous-sol d'une copropriété récente et sécurisée, venez découvrir ce spacieux box. Facilement accessible via ascenseur, vous serez à proximité de toutes les commodités et transports en commun. Éclairage électrique ..."
Appartement F2 à vendre,325 000 €,31 m²,2 pièces,PARIS  75011,"OBERKAMPF, entre les métros Saint-Maur, Ménilmontant et Parmentier (lignes 3 et 2), au 6ème et dernier étage d'un bel immeuble ancien façade pierre et brique très bien entretenu (réfection de la toiture avec isolation des combles, ravalement façades cours ..."
Appartement F2 à vendre,450 000 €,73 m²,2 pièces,PARIS  75019,"Entre Pyrénées, Belleville et le parc des Buttes Chaumont, dans un quartier à l'ambiance village, nous vous présentons à la vente en exclusivité un appartement coup de cœur de 2 pièces d'environ 40 m² avec balcon situé au ..."
Appartement F1 à vendre,318 000 €,50 m²,1 pièces,PARIS  75011,"RUE ALEXANDRE DUMAS / RUE DES BOULETS / CHARONNE STUDIO AVEC ASCENSEUR ET BALCON ! A deux pas du quartier Charonne (L9), de la place de la Nation (RER A, L1, 6, 2, 9) ou du village Faidherbe (L8, marché d'Aligre), venez ..."
Appartement F3 à vendre,960 000 €,15 m²,3 pièces,PARIS  75011,"PARIS XIe Village Faidherbe Au cœur du Village Faidherbe, rue Paul Bert, découvrez ce magnifique appartement familial de 85 m², entièrement rénové avec des matériaux de qualité, dans une copropriété des années 30 parfaitement entretenue. Dès l'entrée, vous serez ..."
Appartement F1 à vendre,225 000 €,40 m²,1 pièces,PARIS  75010,"PARIS 75010, RUE LUCIEN SAMPAIX, proche du métro Jacques Bonsergent, du Canal Saint-Martin et de la place de la République, votre agence CENTURY 21 BONSERGENT vous propose de découvrir au 5ème étage ce STUDIO dans un immeuble ancien bien entretenu ..."
Appartement F2 à vendre,590 000 €,91 m²,2 pièces,PARIS  75014,"PARIS 14ème Limite 6ème : Quartier Vavin Au 1er étage avec ascenseur d'un immeuble de 1895, situé dans la très recherchée rue Delambre, découvrez cet appartement de 2 pièces d'une superficie de 54,91 m². Il se compose d ..."
Appartement T2 à vendre,396 000 €,54 m²,2 pièces,PARIS  75014,"Paris 14ème limite 6ème : RER Port Royal / Avenue de l'Observatoire Proximité Jardin du Luxembourg, Hôpital Cochin et quartier Montparnasse. Dans un immeuble ancien de caractère, découvrez cet appartement au plan modulable de deux pièces avec mezzanine, offrant de nombreuses ..."
Appartement T6 à vendre,2 990 000 €,51 m²,7 pièces,PARIS  75014,"Paris 14ème limite 6ème - VAVIN - Appartement familial de 156,10 m² carrez (159,88 m² au sol), au 4ème étage par ascenseur d'un immeuble édifié par l'architecte Louis Taberlet. Situé à la lisière du 6ème arrondissement, ce bien ..."
Appartement T3 à vendre,1 095 000 €,02 m²,3 pièces,PARIS  75006,"Paris 6ème : Rue de Sèvres - Le Bon Marché À proximité immédiate du Bon Marché et situé entre les stations de métro Vaneau et Duroc, cet appartement en duplex occupe les deux derniers étages d'un immeuble ancien. Le quartier, au ..."
Appartement T3 à vendre,949 000 €,55 m²,3 pièces,PARIS  75006,"Paris 6ème : Vue imprenable sur le Marché Saint-Germain et l'Église Saint-Sulpice. Situé sur la très prisée rue de Seine, cet appartement bénéficie d'un emplacement recherché et de vues dégagées sur deux monuments emblématiques : le marché Saint-Germain d'un ..."
Appartement F4 à vendre,780 000 €,79 m²,4 pièces,PARIS  75011,"Métro Parmentier ou Rue Saint Maur, au 3ème étage avec ascenseur d'une copropriété en pierre de taille de bon standing aux élégantes parties communes , vous découvrirez cet appartement de 4 pièces, et d'environ 79m2 . Il comprend un séjour ..."
Appartement F3 à vendre,850 000 €,38 m²,3 pièces,PARIS  75009,APPARTEMENT 3 PIECES - 2 CHAMBRES - ETAGE ELEVE - BALCON Rue Condorcet C'est au sein d'une copropriété de grand standing et bien entretenue que votre agence Century 21 Quartier des Théâtres vous propose à la vente un bien de 57 ...
Chambre à vendre,60 000 €,90 m²,1 pièces,PARIS  75009,"STUDETTE VUE SACRÉ-CŒUR 5e ÉTAGE AVEC ASCENSEUR LUMINEUX ET CALME Située au 5e étage avec ascenseur d'un bel immeuble haussmannien, dans une copropriété très bien entretenue, cette charmante studette de 12 m² avec mezzanine, 7 m² Carrez avec plus ..."
Parking à vendre,25 000 €,76 m²,non disponible,PARIS  75015,"Le parking idéal à deux pas de Montparnasse. Situé rue d'Arsonval, dans le 15e arrondissement de Paris, à seulement quatre minutes à pied de la gare Montparnasse, ce parking en sous-sol offre un emplacement sécurisé et boxable. L'accès ..."
Appartement F4 à vendre,670 000 €,12 m²,4 pièces,PARIS  75014,"Paris 14ème Proche métro Pernety et Gare Montparnasse Dans une résidence bien entretenue construite en 1987, découvrez cet appartement de 4 pièces au calme, bénéficiant d'un cadre verdoyant. Il se compose d'une entrée avec placard, d'un vaste ..."
Appartement T3 à vendre,569 000 €,25 m²,3 pièces,PARIS  75015,"Paris 15ème Rue Antoine Bourdelle, à 3 minutes à pied de la Gare Montparnasse Au 2e étage avec ascenseur d'un immeuble sécurisé des années 1970, parfaitement entretenu et avec gardienne, découvrez ce 3 pièces lumineux de 57,25 m² ..."
Appartement F4 à vendre,425 000 €,75 m²,4 pièces,PARIS  75015,"Paris XV, À découvrir sans tarder ! À proximité de la Coulée verte du sud parisien et de plusieurs parcs, venez visiter ce superbe appartement de 4 pièces situé au 3e étage d'un immeuble calme sur cours, dans le 15e ..."
Appartement à vendre,440 000 €,46 m²,2 pièces,PARIS  75015,"PARIS XV Venez découvrir! Appartement 2 pièces situé au 1er étage avec ascenseur d'un immeuble bien entretenu dans le 15e arrondissement de Paris. Avec une surface habitable de 46 m², il comprend une entrée donnant sur grand séjour, une ..."
Parking à vendre,35 000 €,50 m²,non disponible,PARIS  75015,"PARIS XV -La Motte Picquet Situé dans le nord du 15ème arrondissement, proche des métros Cambronne et La Motte-Picquet, nous vous proposons un parking à la vente. Ce dernier se situe au 4ème sous-sol d'un immeuble sécurisé et mesure ..."
Parking à vendre,45 000 €,60 m²,non disponible,PARIS  75015,"PARIS XVème ÉCOLE MILITAIRE / AVENUE DE SUFFREN Situé au deuxième sous-sol d'une copropriété récente et sécurisée, venez découvrir ce spacieux box. Facilement accessible via ascenseur, vous serez à proximité de toutes les commodités et transports en commun. Éclairage électrique ..."
Appartement F2 à vendre,325 000 €,31 m²,2 pièces,PARIS  75011,"OBERKAMPF, entre les métros Saint-Maur, Ménilmontant et Parmentier (lignes 3 et 2), au 6ème et dernier étage d'un bel immeuble ancien façade pierre et brique très bien entretenu (réfection de la toiture avec isolation des combles, ravalement façades cours ..."
Appartement F2 à vendre,450 000 €,73 m²,2 pièces,PARIS  75019,"Entre Pyrénées, Belleville et le parc des Buttes Chaumont, dans un quartier à l'ambiance village, nous vous présentons à la vente en exclusivité un appartement coup de cœur de 2 pièces d'environ 40 m² avec balcon situé au ..."
Appartement F1 à vendre,318 000 €,50 m²,1 pièces,PARIS  75011,"RUE ALEXANDRE DUMAS / RUE DES BOULETS / CHARONNE STUDIO AVEC ASCENSEUR ET BALCON ! A deux pas du quartier Charonne (L9), de la place de la Nation (RER A, L1, 6, 2, 9) ou du village Faidherbe (L8, marché d'Aligre), venez ..."
Appartement F3 à vendre,960 000 €,15 m²,3 pièces,PARIS  75011,"PARIS XIe Village Faidherbe Au cœur du Village Faidherbe, rue Paul Bert, découvrez ce magnifique appartement familial de 85 m², entièrement rénové avec des matériaux de qualité, dans une copropriété des années 30 parfaitement entretenue. Dès l'entrée, vous serez ..."
Appartement F1 à vendre,225 000 €,40 m²,1 pièces,PARIS  75010,"PARIS 75010, RUE LUCIEN SAMPAIX, proche du métro Jacques Bonsergent, du Canal Saint-Martin et de la place de la République, votre agence CENTURY 21 BONSERGENT vous propose de découvrir au 5ème étage ce STUDIO dans un immeuble ancien bien entretenu ..."
Appartement F2 à vendre,590 000 €,91 m²,2 pièces,PARIS  75014,"PARIS 14ème Limite 6ème : Quartier Vavin Au 1er étage avec ascenseur d'un immeuble de 1895, situé dans la très recherchée rue Delambre, découvrez cet appartement de 2 pièces d'une superficie de 54,91 m². Il se compose d ..."
Appartement T2 à vendre,396 000 €,54 m²,2 pièces,PARIS  75014,"Paris 14ème limite 6ème : RER Port Royal / Avenue de l'Observatoire Proximité Jardin du Luxembourg, Hôpital Cochin et quartier Montparnasse. Dans un immeuble ancien de caractère, découvrez cet appartement au plan modulable de deux pièces avec mezzanine, offrant de nombreuses ..."
Appartement T6 à vendre,2 990 000 €,51 m²,7 pièces,PARIS  75014,"Paris 14ème limite 6ème - VAVIN - Appartement familial de 156,10 m² carrez (159,88 m² au sol), au 4ème étage par ascenseur d'un immeuble édifié par l'architecte Louis Taberlet. Situé à la lisière du 6ème arrondissement, ce bien ..."
Appartement T3 à vendre,1 095 000 €,02 m²,3 pièces,PARIS  75006,"Paris 6ème : Rue de Sèvres - Le Bon Marché À proximité immédiate du Bon Marché et situé entre les stations de métro Vaneau et Duroc, cet appartement en duplex occupe les deux derniers étages d'un immeuble ancien. Le quartier, au ..."
Appartement T3 à vendre,949 000 €,55 m²,3 pièces,PARIS  75006,"Paris 6ème : Vue imprenable sur le Marché Saint-Germain et l'Église Saint-Sulpice. Situé sur la très prisée rue de Seine, cet appartement bénéficie d'un emplacement recherché et de vues dégagées sur deux monuments emblématiques : le marché Saint-Germain d'un ..."
Appartement F4 à vendre,780 000 €,79 m²,4 pièces,PARIS  75011,"Métro Parmentier ou Rue Saint Maur, au 3ème étage avec ascenseur d'une copropriété en pierre de taille de bon standing aux élégantes parties communes , vous découvrirez cet appartement de 4 pièces, et d'environ 79m2 . Il comprend un séjour ..."
Appartement F3 à vendre,850 000 €,38 m²,3 pièces,PARIS  75009,APPARTEMENT 3 PIECES - 2 CHAMBRES - ETAGE ELEVE - BALCON Rue Condorcet C'est au sein d'une copropriété de grand standing et bien entretenue que votre agence Century 21 Quartier des Théâtres vous propose à la vente un bien de 57 ...
Chambre à vendre,60 000 €,90 m²,1 pièces,PARIS  75009,"STUDETTE VUE SACRÉ-CŒUR 5e ÉTAGE AVEC ASCENSEUR LUMINEUX ET CALME Située au 5e étage avec ascenseur d'un bel immeuble haussmannien, dans une copropriété très bien entretenue, cette charmante studette de 12 m² avec mezzanine, 7 m² Carrez avec plus ..."
